t,Node,Event_Type,inc_id,Pattern
2021-01-26 00:00:02,node3386,product92-hur files stuck product51,,node3386__product92-hur files stuck product51
2021-01-26 00:00:02,node3386,product92-hur files stuck product51,,node3386__product92-hur files stuck product51
2021-01-26 00:00:03,node967,product117_file_monitor,,node967__product117_file_monitor
2021-01-26 00:00:03,node713,product117_file_monitor,,node713__product117_file_monitor
2021-01-26 00:00:04,node1433,etype3 indicator on report_file_out,,node1433__etype3 indicator on report_file_out
2021-01-26 00:00:11,node956.company.com,product192 node5440,,node956.company.com__product192 node5440
2021-01-26 00:00:17,node3569.company.com,etype69,,node3569.company.com__etype69
2021-01-26 00:00:17,node483.company.com,etype69,,node483.company.com__etype69
2021-01-26 00:00:18,node5159.company.com,swproduct135entry ,,node5159.company.com__swproduct135entry 
2021-01-26 00:00:22,node1324,[report_product51] reports stuck in queued status on node1324,INC000000895065,node1324__[report_product51] reports stuck in queued status on node1324
2021-01-26 00:00:23,node1324,[report_product51] reports stuck in queued status on node1324,INC000000895065,node1324__[report_product51] reports stuck in queued status on node1324
2021-01-26 00:00:23,node1324,[report_product51] reports stuck in queued status on node1324,INC000000895065,node1324__[report_product51] reports stuck in queued status on node1324
2021-01-26 00:00:24,node1324,[report_product51] long running reports on node1324,INC000000895064,node1324__[report_product51] long running reports on node1324
2021-01-26 00:00:24,node3344,stream_product71_facts transaction running long on node3344,,node3344__stream_product71_facts transaction running long on node3344
2021-01-26 00:00:24,node1324,[report_product51] reports stuck in queued status on node1324,INC000000895065,node1324__[report_product51] reports stuck in queued status on node1324
2021-01-26 00:00:24,node1324,[report_product51] reports stuck in queued status on node1324,INC000000895065,node1324__[report_product51] reports stuck in queued status on node1324
2021-01-26 00:00:25,node4510,[report_product51] failed reports on node4510,,node4510__[report_product51] failed reports on node4510
2021-01-26 00:00:28,node3327.company.com,swproduct135entry ,,node3327.company.com__swproduct135entry 
2021-01-26 00:00:56,node3759.company.com,gi2/0/20,,node3759.company.com__gi2/0/20
2021-01-26 00:00:56,node3759.company.com,gi1/0/20,,node3759.company.com__gi1/0/20
2021-01-26 00:01:01,node758,listrak prod https,,node758__listrak prod https
2021-01-26 00:01:01,node758,att eag smpp gateway,,node758__att eag smpp gateway
2021-01-26 00:01:01,node758,vibes media verizon ssl,,node758__vibes media verizon ssl
2021-01-26 00:01:01,node755,att eag smpp gateway,,node755__att eag smpp gateway
2021-01-26 00:01:02,node1715,product284 customoid,,node1715__product284 customoid
2021-01-26 00:01:02,node1714,product284 customoid,,node1714__product284 customoid
2021-01-26 00:01:11,node3556,product92-check handlers status product51,,node3556__product92-check handlers status product51
2021-01-26 00:01:11,node3556,product92-check handlers status product51,,node3556__product92-check handlers status product51
2021-01-26 00:01:17,node3556,product92-check handlers status product51,,node3556__product92-check handlers status product51
2021-01-26 00:01:17,node3556,product92-check handlers status product51,,node3556__product92-check handlers status product51
2021-01-26 00:01:17,node3556,product92-check handlers status product51,,node3556__product92-check handlers status product51
2021-01-26 00:01:18,node3556,product92-check handlers status product51,,node3556__product92-check handlers status product51
2021-01-26 00:01:18,node3556,product92-check handlers status product51,,node3556__product92-check handlers status product51
2021-01-26 00:01:18,node3556,product92-check handlers status product51,,node3556__product92-check handlers status product51
2021-01-26 00:01:18,node3556,product92-check handlers status product51,,node3556__product92-check handlers status product51
2021-01-26 00:01:18,node3556,product92-check handlers status product51,,node3556__product92-check handlers status product51
2021-01-26 00:01:19,node3556,product92-check handlers status product51,,node3556__product92-check handlers status product51
2021-01-26 00:01:19,node3556,product92-check handlers status product51,,node3556__product92-check handlers status product51
2021-01-26 00:01:19,node3556,product92-check handlers status product51,,node3556__product92-check handlers status product51
2021-01-26 00:01:27,node1837.company.com,procproduct132status,,node1837.company.com__procproduct132status
2021-01-26 00:01:38,node3868.company.com,product435: etype68,,node3868.company.com__product435: etype68
2021-01-26 00:01:38,node5039,sun5-product170-mqueue,,node5039__sun5-product170-mqueue
2021-01-26 00:01:39,node3269,lkf bn400188-00,,node3269__lkf bn400188-00
2021-01-26 00:01:48,node3867.company.com,product435: etype68,,node3867.company.com__product435: etype68
2021-01-26 00:01:52,node1224.company.com,mes-node331 log: node5581,,node1224.company.com__mes-node331 log: node5581
2021-01-26 00:01:52,node1224.company.com,mes-node331 log: node5581,,node1224.company.com__mes-node331 log: node5581
2021-01-26 00:02:01,node1294.company.com,node1294.company.com - eu product163 etl halted transaction(s) found!!,INC000000895298,node1294.company.com__node1294.company.com - eu product163 etl halted transaction(s) found!!
2021-01-26 00:02:02,node506,lkf b7307056-01,,node506__lkf b7307056-01
2021-01-26 00:02:02,node506,lkf b7307057-00,,node506__lkf b7307057-00
2021-01-26 00:02:34,node1609.company.com,mes-node331 log: node5581,,node1609.company.com__mes-node331 log: node5581
2021-01-26 00:02:34,node1609.company.com,mes-node331 log: node5581,,node1609.company.com__mes-node331 log: node5581
2021-01-26 00:02:35,node1230.company.com,mes-node331 log: node5581,,node1230.company.com__mes-node331 log: node5581
2021-01-26 00:02:35,node1230.company.com,mes-node331 log: node5581,,node1230.company.com__mes-node331 log: node5581
2021-01-26 00:02:47,node1222.company.com,mes-node331 log: node5581,,node1222.company.com__mes-node331 log: node5581
2021-01-26 00:02:47,node1222.company.com,mes-node331 log: node5581,,node1222.company.com__mes-node331 log: node5581
2021-01-26 00:02:51,node1228.company.com,mes-node331 log: node5581,,node1228.company.com__mes-node331 log: node5581
2021-01-26 00:02:51,node4597.company.com,jnxpowersupply,,node4597.company.com__jnxpowersupply
2021-01-26 00:02:52,node1228.company.com,mes-node331 log: node5581,,node1228.company.com__mes-node331 log: node5581
2021-01-26 00:03:01,node1611.company.com,mes-node331 log: node5581,,node1611.company.com__mes-node331 log: node5581
2021-01-26 00:03:05,node5301.company.com,netscreentrapvpn,,node5301.company.com__netscreentrapvpn
2021-01-26 00:03:06,node3569.company.com,etype69,,node3569.company.com__etype69
2021-01-26 00:03:10,node1220.company.com,mes-node331 log: node5581,,node1220.company.com__mes-node331 log: node5581
2021-01-26 00:03:10,node1220.company.com,mes-node331 log: node5581,,node1220.company.com__mes-node331 log: node5581
2021-01-26 00:03:40,node5352,lkf bn401188-00,,node5352__lkf bn401188-00
2021-01-26 00:03:46,node307,5 - rt50701,INC000000894767,node307__5 - rt50701
2021-01-26 00:03:59,node1611.company.com,mes-node331 log: node5581,,node1611.company.com__mes-node331 log: node5581
2021-01-26 00:03:59,node901,chicago third-site lc mqueue,,node901__chicago third-site lc mqueue
2021-01-26 00:04:07,node1416,product99_product183 customoid,,node1416__product99_product183 customoid
2021-01-26 00:04:15,node1581.company.com,product127 titan7 high-availability,,node1581.company.com__product127 titan7 high-availability
2021-01-26 00:04:33,node1226.company.com,mes-node331 log: node5581,,node1226.company.com__mes-node331 log: node5581
2021-01-26 00:04:33,node1226.company.com,mes-node331 log: node5581,,node1226.company.com__mes-node331 log: node5581
2021-01-26 00:05:01,node4193,product3113_tim_br_product51,INC000000895062,node4193__product3113_tim_br_product51
2021-01-26 00:05:01,node2054,product3113_tim_br_product51,INC000000895062,node2054__product3113_tim_br_product51
2021-01-26 00:05:02,node3555.company.com,scr-err800:node3555,,node3555.company.com__scr-err800:node3555
2021-01-26 00:05:03,node2056,product3113_tim_br_product51,INC000000895062,node2056__product3113_tim_br_product51
2021-01-26 00:05:12,node3877,sun5-product170-mqueue,,node3877__sun5-product170-mqueue
2021-01-26 00:05:14,node1225,a2p queue: routerfilequeue-filequeue,,node1225__a2p queue: routerfilequeue-filequeue
2021-01-26 00:05:14,node1227,a2p queue: routerfilequeue-filequeue,,node1227__a2p queue: routerfilequeue-filequeue
2021-01-26 00:05:15,node5301.company.com,netscreentrapvpn,,node5301.company.com__netscreentrapvpn
2021-01-26 00:05:16,node5285.company.com,netscreentrapvpn,,node5285.company.com__netscreentrapvpn
2021-01-26 00:05:25,node5301.company.com,netscreentrapvpn,,node5301.company.com__netscreentrapvpn
2021-01-26 00:05:26,node5285.company.com,netscreentrapvpn,,node5285.company.com__netscreentrapvpn
2021-01-26 00:05:27,node4510,[report_product51] failed reports on node4510,,node4510__[report_product51] failed reports on node4510
2021-01-26 00:05:29,node4510,[report_product51] reports stuck in queued status on node4510,INC000000895173,node4510__[report_product51] reports stuck in queued status on node4510
2021-01-26 00:05:29,node5300.company.com,netscreentrapvpn,,node5300.company.com__netscreentrapvpn
2021-01-26 00:05:31,node4510,[report_product51] reports stuck in queued status on node4510,,node4510__[report_product51] reports stuck in queued status on node4510
2021-01-26 00:05:32,node4510,[report_product51] reports stuck in queued status on node4510,,node4510__[report_product51] reports stuck in queued status on node4510
2021-01-26 00:05:34,node1219,a2p queue: routerfilequeue-filequeue,,node1219__a2p queue: routerfilequeue-filequeue
2021-01-26 00:05:35,node5301.company.com,netscreentrapvpn,,node5301.company.com__netscreentrapvpn
2021-01-26 00:05:36,node1224.company.com,mes-node331 log: node5581,,node1224.company.com__mes-node331 log: node5581
2021-01-26 00:05:41,node1296,[job product51] : start_delayed on cdr,,node1296__[job product51] : start_delayed on cdr
2021-01-26 00:05:41,node1296,[job product51] : start_delayed on cdr,,node1296__[job product51] : start_delayed on cdr
2021-01-26 00:05:41,node1296,[job product51] : start_delayed on cdr,,node1296__[job product51] : start_delayed on cdr
2021-01-26 00:05:44,node1156.company.com,bng-3702-4-05@default location,INC000000890327,node1156.company.com__bng-3702-4-05@default location
2021-01-26 00:05:47,node1156.company.com,bng-3702-4-06@default location,INC000000890327,node1156.company.com__bng-3702-4-06@default location
2021-01-26 00:05:55,node1612.company.com,mes-node331 log: node5581,,node1612.company.com__mes-node331 log: node5581
2021-01-26 00:05:55,node1612.company.com,mes-node331 log: node5581,,node1612.company.com__mes-node331 log: node5581
2021-01-26 00:05:56,node483.company.com,etype69,,node483.company.com__etype69
2021-01-26 00:06:01,node5289.company.com,netscreentrapvpn,,node5289.company.com__netscreentrapvpn
2021-01-26 00:06:05,node5301.company.com,netscreentrapvpn,,node5301.company.com__netscreentrapvpn
2021-01-26 00:06:09,node5184.company.com,swproduct135entry ,,node5184.company.com__swproduct135entry 
2021-01-26 00:06:15,node1226.company.com,mes-node331 log: node5581,,node1226.company.com__mes-node331 log: node5581
2021-01-26 00:06:32,node3569.company.com,etype27,,node3569.company.com__etype27
2021-01-26 00:06:32,node483.company.com,etype27,,node483.company.com__etype27
2021-01-26 00:07:24,node1612,a2p queue: routerfilequeue-filequeue,,node1612__a2p queue: routerfilequeue-filequeue
2021-01-26 00:07:28,node1222.company.com,mes-node331 log: node5581,,node1222.company.com__mes-node331 log: node5581
2021-01-26 00:07:35,node3865.company.com,product435: etype68,,node3865.company.com__product435: etype68
2021-01-26 00:07:44,node1221,a2p queue: routerfilequeue-filequeue,,node1221__a2p queue: routerfilequeue-filequeue
2021-01-26 00:07:54,node1223,a2p queue: routerfilequeue-filequeue,,node1223__a2p queue: routerfilequeue-filequeue
2021-01-26 00:07:54,node1611,a2p queue: routerfilequeue-filequeue,,node1611__a2p queue: routerfilequeue-filequeue
2021-01-26 00:08:07,node1610.company.com,mes-node331 log: node5581,,node1610.company.com__mes-node331 log: node5581
2021-01-26 00:08:07,node1610.company.com,mes-node331 log: node5581,,node1610.company.com__mes-node331 log: node5581
2021-01-26 00:08:24,node1609,a2p queue: routerfilequeue-filequeue,,node1609__a2p queue: routerfilequeue-filequeue
